Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Negative Talking Points	Positive Talking Points	Category	Archetypes
Daniel Day-Lewis	Daniel Day-Lewis	male	Sugarloaf Mountain	Wicklow	Ireland	left	married		performing serious acting, winning Oscars	Lincoln towncar	Oscar statuette	stove-pipe hat	Acting, Hollywood, Serious Acting	movies							obsessive, overzealous, over-serious	dedicated, talented, versatile, dramatic, convincing,	Actor	
Tina Fey	Tina Fey	female	Rockerfeller Center	New York City	USA	left	married		writing comedy	New York taxicab	pepper spray		Comedy	television				Liz Lemon	Saturday Night Live		bossy, sarcastic	funny, witty, self-deprecating, entertaining	Actress, Comedian	
Abraham Lincoln	Abraham Lincoln	male	White House, Ford Theatre, Gettysberg	Washington D.C.	USA	moderate	married	John Wilkes Booth	fighting for civil rights, fighting civil wars	horse-drawn carriage	woodsman's axe	stove-pipe hat	American politics	politics		Daniel Day-Lewis, Henry Fonda		Gettysberg address	The Republican Party		stern, lanky, ugly	wise, erudite, farseeing, eloquent	President, Political Leader	
John Wilkes Booth	John Wilkes-Booth	male	Ford Theatre	Washington D.C.	USA	right		Abraham Lincoln	assassinating presidents	horse, horse-drawn carriage	flintlock muff pistol	stove-pipe hat	American politics	politics				Lincoln assassination			murderous, vengeful, bitter, violent, unbalanced, deranged	principled, decisive, committed	Assassin	Kt
Adam Sandler	Adam Sandler	male	Beverly Hills, Hollywood	California	USA	left			making dumb comedies	Tesla Roadster	bad jokes		Comedy	movies				The Zohan			irritating, vulgar, juvenile, crass, profane	funny, entertaining,	Actor, Comedian	
Adam Smith	Adam Smith	male	Kirkcaldy	Scotland	UK	right		Karl Marx	promoting capitalism	horse-drawn carriage	invisible hand		Capitalism	science, philosophy, economics				Capitalism			calculating, uncaring, cold	insightful, systematic,	Economist	
Adam West	Adam West	male	Wayne Mansion	Gotham City	USA			The Joker	wearing tights	Batmobile	judo chop	Batman costume	Comedy	television						Family Guy	wooden, unconvincing, self-parodying	entertaining, comedic, humorous	Actor	
The Joker		male	Arkham Asylum	Gotham City	USA	libertarian	dating Harley Quinn	Batman	causing mayhem, spreading fear, laughing maniacally	Jokermobile	smilex gas, lethal joy buzzer, exploding whoopee cushion, Titan dart gun	purple topcoat, white face makeup, green wig	DC Comics, Gotham City	crime, terrorism	fictional	Jack Nicholson, Heath Ledger	Bob Kane	Joker gas	Secret Society of Super Villains	The Dark Knight Rises	maniacal, cruel, sadistic, inhuman, homicidal, murderous,	playful, witty, flamboyant, cunning, brilliant, humorous, creative, gleeful	Maniac, Madman, Criminal, Terrorist, Clown	4te, Mgb, Mpb
Al Bundy	Al Bundy	male	Chicago	Illinois	USA		married	Peggy Bundy	watching TV	old banger	head butt		Family life, Comedy	television		Ed O'Neill				Married With Children	crass, uneducated, lazy, indebted, boorish	funny, devious, decent	Father	
Al Capone	Al Capone	male	Chicago	Illinois	USA	right, libertarian		Eliot Ness	selling illegal alcohol	armored Cadillac	machine gun	spats	Prohibition, the Mafia, Chicago	crime		Robert De Niro		Capone gang	The Chicago Mob	The Untouchables	cruel, ruthless, evil, greedy, fat	clever, powerful, dominant	Crimeboss	Bad
Eliot Ness	Eliot Ness	male	Chicago	Illinois	USA	right	married	Al Capone	arresting bootleggers, fighting with the mob	1932 Cadillac V-16 Sport Phaeton	.38 Colt Special	Grey velour felt Fedora	Prohibition, the Mafia, Chicago, the Law	law and order, crime		Robert Stack, Kevin Costner		The Untouchables	The Untouchables	The Untouchables	alcoholic, self-promoting, womanizing, attention-craving	persistent, tenacious, determined, dogged, principled, driven, law-abiding	Crime Fighter, Policeman, FBI Agent	
